Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
PBMC5_NK	0.408129870852848	NK	116	96	701	0.165477888730385	0.136947218259629	0.827586206896552	scE2G_multiome	35.7818058538503	30.1542438943724	42.4596164522493	0.0873046018096451	3.3348277392946e-127	98	scE2G (Multiome)	0.164	scE2G (Multiome) (PBMC5_NK)	#792374
PBMC5_NK	0.40818693877551	NK	39	36	701	0.0556348074179743	0.0513552068473609	0.923076923076923	scABC	27.2546464834795	19.9217002676864	37.2867649326251	0.159908252847219	1.44362226183384e-36	98	ABC (A=scATAC, C=power law)	0.015	ABC (A=scATAC, C=power law) (PBMC5_NK)	#0096a0
PBMC5_NK	0.418198068043999	NK	135	106	701	0.192582025677603	0.151212553495007	0.785185185185185	scE2G_ATAC	27.753394816768	23.7426139238622	32.4417069799242	0.0796375240809038	3.59154128862435e-135	99	scE2G (scATAC)	0.183	scE2G (scATAC) (PBMC5_NK)	#006479
PBMC5_NK	0.42802734331999	NK	132	104	701	0.18830242510699	0.148359486447932	0.787878787878788	scE2G_ATAC	27.7222501544794	23.6616852381564	32.4796457180585	0.0808067206115796	8.81632924467827e-132	99	scE2G (scATAC)	0.183	scE2G (scATAC) (PBMC5_NK)	#006479
PBMC5_NK	0.428062844511295	NK	1	1	701	0.0014265335235378	0.0014265335235378	1	Cicero	24.9207627638684	3.50355654225615	177.261137145252	1.0009993601609	1	98	Cicero (co-accessibility)	0.25	Cicero (co-accessibility) (PBMC5_NK)	#888364
PBMC5_NK	0.428429527166109	NK	29	22	701	0.0413694721825963	0.0313837375178317	0.758620689655172	STARE	23.1829071843843	16.1290420316741	33.3217053104792	0.185102252285751	3.27551805125732e-25	99	STARE (gABC, power law)	0.004	STARE (gABC, power law) (PBMC5_NK)	#96ced3
PBMC5_NK	0.428536364395491	NK	114	95	701	0.16262482168331	0.135520684736091	0.833333333333333	scE2G_multiome	36.6485617364773	30.826617583876	43.5700437681141	0.0882647138847647	6.73437872377082e-126	98	scE2G (Multiome)	0.164	scE2G (Multiome) (PBMC5_NK)	#792374
PBMC5_NK	0.428594285714286	NK	39	36	701	0.0556348074179743	0.0513552068473609	0.923076923076923	scABC	27.4504494533577	20.0648073497707	37.5546678348723	0.15990862151377	1.10994120786751e-36	98	ABC (A=scATAC, C=power law)	0.015	ABC (A=scATAC, C=power law) (PBMC5_NK)	#0096a0
PBMC5_NK	0.434473407533126	NK	1	1	701	0.0014265335235378	0.0014265335235378	1	Cicero	25.4509917588444	3.57784125984176	181.045757613464	1.00103629869518	1	98	Cicero (co-accessibility)	0.25	Cicero (co-accessibility) (PBMC5_NK)	#888364
PBMC5_NK	0.436555160254746	NK	114	95	701	0.16262482168331	0.135520684736091	0.833333333333333	scE2G_multiome	37.1678448816765	31.2633875406906	44.1874282289581	0.0882650488476253	1.50677393511616e-126	98	scE2G (Multiome)	0.164	scE2G (Multiome) (PBMC5_NK)	#792374
