tissue	var_count	distance_bin	distance_min	distance_max	distance_label	hex
lung	3	n_bin5	1000	30000	> 1000Kb	#96ced3
colon_transverse	235	n_bin1	0	10	0-10 Kb	#003648
colon_transverse	273	n_bin2	10	100	10-100 Kb	#006479
colon_transverse	50	n_bin3	100	250	100-250 Kb	#0096a0
colon_transverse	28	n_bin4	250	1000	250-1000 Kb	#49bcbc
colon_transverse	2	n_bin5	1000	30000	> 1000Kb	#96ced3
pituitary	169	n_bin1	0	10	0-10 Kb	#003648
pituitary	215	n_bin2	10	100	10-100 Kb	#006479
pituitary	42	n_bin3	100	250	100-250 Kb	#0096a0
pituitary	31	n_bin4	250	1000	250-1000 Kb	#49bcbc
pituitary	0	n_bin5	1000	30000	> 1000Kb	#96ced3
ovary	86	n_bin1	0	10	0-10 Kb	#003648
ovary	118	n_bin2	10	100	10-100 Kb	#006479
ovary	25	n_bin3	100	250	100-250 Kb	#0096a0
ovary	24	n_bin4	250	1000	250-1000 Kb	#49bcbc
ovary	0	n_bin5	1000	30000	> 1000Kb	#96ced3
colon_sigmoid	214	n_bin1	0	10	0-10 Kb	#003648
colon_sigmoid	242	n_bin2	10	100	10-100 Kb	#006479
colon_sigmoid	52	n_bin3	100	250	100-250 Kb	#0096a0
colon_sigmoid	38	n_bin4	250	1000	250-1000 Kb	#49bcbc
colon_sigmoid	0	n_bin5	1000	30000	> 1000Kb	#96ced3
brain_spinal	64	n_bin1	0	10	0-10 Kb	#003648
brain_spinal	120	n_bin2	10	100	10-100 Kb	#006479
brain_spinal	18	n_bin3	100	250	100-250 Kb	#0096a0
brain_spinal	16	n_bin4	250	1000	250-1000 Kb	#49bcbc
brain_spinal	0	n_bin5	1000	30000	> 1000Kb	#96ced3
esophagus_gej	243	n_bin1	0	10	0-10 Kb	#003648
esophagus_gej	275	n_bin2	10	100	10-100 Kb	#006479
esophagus_gej	43	n_bin3	100	250	100-250 Kb	#0096a0
esophagus_gej	31	n_bin4	250	1000	250-1000 Kb	#49bcbc
esophagus_gej	0	n_bin5	1000	30000	> 1000Kb	#96ced3
liver	110	n_bin1	0	10	0-10 Kb	#003648
liver	127	n_bin2	10	100	10-100 Kb	#006479
liver	29	n_bin3	100	250	100-250 Kb	#0096a0
liver	28	n_bin4	250	1000	250-1000 Kb	#49bcbc
liver	0	n_bin5	1000	30000	> 1000Kb	#96ced3
heart_atrial_appendage	245	n_bin1	0	10	0-10 Kb	#003648
heart_atrial_appendage	306	n_bin2	10	100	10-100 Kb	#006479
heart_atrial_appendage	74	n_bin3	100	250	100-250 Kb	#0096a0
heart_atrial_appendage	34	n_bin4	250	1000	250-1000 Kb	#49bcbc
heart_atrial_appendage	2	n_bin5	1000	30000	> 1000Kb	#96ced3
NK	224	n_bin1	0	10	0-10 Kb	#003648
NK	362	n_bin2	10	100	10-100 Kb	#006479
NK	59	n_bin3	100	250	100-250 Kb	#0096a0
NK	41	n_bin4	250	1000	250-1000 Kb	#49bcbc
NK	0	n_bin5	1000	30000	> 1000Kb	#96ced3
monocyte_CD16_pos	147	n_bin1	0	10	0-10 Kb	#003648
monocyte_CD16_pos	229	n_bin2	10	100	10-100 Kb	#006479
monocyte_CD16_pos	37	n_bin3	100	250	100-250 Kb	#0096a0
monocyte_CD16_pos	29	n_bin4	250	1000	250-1000 Kb	#49bcbc
monocyte_CD16_pos	0	n_bin5	1000	30000	> 1000Kb	#96ced3
placenta	118	n_bin1	0	10	0-10 Kb	#003648
placenta	194	n_bin2	10	100	10-100 Kb	#006479
placenta	21	n_bin3	100	250	100-250 Kb	#0096a0
placenta	17	n_bin4	250	1000	250-1000 Kb	#49bcbc
placenta	0	n_bin5	1000	30000	> 1000Kb	#96ced3
blood	992	n_bin1	0	10	0-10 Kb	#003648
blood	1420	n_bin2	10	100	10-100 Kb	#006479
blood	241	n_bin3	100	250	100-250 Kb	#0096a0
blood	133	n_bin4	250	1000	250-1000 Kb	#49bcbc
blood	4	n_bin5	1000	30000	> 1000Kb	#96ced3
stomach	168	n_bin1	0	10	0-10 Kb	#003648
stomach	203	n_bin2	10	100	10-100 Kb	#006479
stomach	41	n_bin3	100	250	100-250 Kb	#0096a0
stomach	21	n_bin4	250	1000	250-1000 Kb	#49bcbc
stomach	1	n_bin5	1000	30000	> 1000Kb	#96ced3
neutrophil	296	n_bin1	0	10	0-10 Kb	#003648
neutrophil	461	n_bin2	10	100	10-100 Kb	#006479
neutrophil	92	n_bin3	100	250	100-250 Kb	#0096a0
neutrophil	54	n_bin4	250	1000	250-1000 Kb	#49bcbc
neutrophil	0	n_bin5	1000	30000	> 1000Kb	#96ced3
adipose	454	n_bin1	0	10	0-10 Kb	#003648
adipose	704	n_bin2	10	100	10-100 Kb	#006479
adipose	161	n_bin3	100	250	100-250 Kb	#0096a0
