cluster	model	AUPRC	AUPRC_95CI_low	AUPRC_95CI_high	precision_70_pct_recall	precision_70_pct_recall_95CI_low	precision_70_pct_recall_95CI_high	threshold_70_pct_recall	precision_50_pct_recall	precision_50_pct_recall_95CI_low	precision_50_pct_recall_95CI_high	threshold_50_pct_recall	precision_model_threshold	precision_model_threshold_95CI_low	precision_model_threshold_95CI_high	recall_model_threshold	recall_model_threshold_95CI_low	recall_model_threshold_95CI_high	pct_missing_pos	pct_missing_neg	pct_missing_total
500_cells_all_atac	scATAC_powerlaw_v2	0.5902326857072319	0.5425158454582079	0.6416342949146366	0.5183264498055478	0.48049468505380805	0.5578112276927618	0.166430085599266	0.6624734320043589	0.6168291320795107	0.7121537301731866	0.377372913816987	0.5402771941542371	0.5005988377630021	0.5813562729866981	0.686748519031883	0.6487173431204599	0.7257643768959892	0.08067940552016985	0.14385432473444612	0.1409810737736578
1000_cells_all_atac	scATAC_powerlaw_v2	0.590184161923268	0.5365946891185754	0.6371838862621659	0.5181727123321774	0.4817835853171069	0.5585178312142594	0.178318289116054	0.6606860220101122	0.6134235704459262	0.7138810198300283	0.375206643532881	0.5232388072841689	0.48420745275535565	0.5649156736422859	0.697113049189319	0.6499179899282784	0.7361963190184049	0.07855626326963906	0.11825998988366211	0.11645422943221322
2000_cells_all_atac	scATAC_powerlaw_v2	0.5896212170112144	0.5373870147779792	0.6314475948070531	0.5098421979211072	0.47160238936952126	0.5471308397683093	0.174497160641089	0.666845466300924	0.607307411870724	0.7058823529411765	0.376219540911296	0.5203740013819422	0.48185585069722403	0.5582152210800645	0.6929976773065596	0.6486672040871204	0.7329345710089887	0.08067940552016985	0.1137076378351037	0.11220548474314407
500_cells_20000_atac	multiome_powerlaw_v2	0.5894388291665131	0.5405903021755631	0.6344429910258838	0.5170423031416581	0.48212688588819136	0.5567484646195592	0.121433840159036	0.6764635337996854	0.6272002712133643	0.7245100021465761	0.339570392652719	0.5710274013592899	0.5325342020651593	0.6127803312643557	0.6729513191190312	0.6327747015434373	0.7132438111578185	0.08492569002123142	0.1561962569549823	0.15295480880648898
5000_cells_2000_atac	scATAC_powerlaw_v2	0.5889580377373484	0.543797787137481	0.6379342814892047	0.5039292894654185	0.4639333316739219	0.5411556372452786	0.164209668443297	0.6579714254756154	0.6112257634718057	0.7062509254674292	0.357362730335137	0.5315902751733702	0.48677022834367756	0.5673910642539435	0.6861100242201816	0.6418749353089608	0.7272101338845559	0.09341825902335456	0.15852301466868993	0.1555619930475087
2000_cells_10000_atac	multiome_powerlaw_v2_noTPMfilter	0.588730063925869	0.5441902520821864	0.6357327862561601	0.5149956137409755	0.47790937519492654	0.553467194544262	0.14581156734342	0.6698873826791284	0.620750227972899	0.7188155450148106	0.355407536144211	0.5418703471415331	0.5050304376688053	0.5808102968150394	0.6860213657092374	0.639957877507831	0.7250848529778312	0.0870488322717622	0.13940313606474455	0.13702201622247973
500_cells_30000_atac	multiome_powerlaw_v2	0.5880764249094782	0.5368846492627877	0.6332378740362407	0.5098642065588249	0.4728004873384217	0.5497713310406649	0.123553822607338	0.6737598681097049	0.6206541205201015	0.7205882352941176	0.349539737047394	0.5697863512686294	0.5298652754617735	0.6098268362330617	0.6724418553197683	0.6314655172413793	0.7134435342369725	0.07855626326963906	0.14446130500758725	0.14146388567014292
500_cells_all_atac	multiome_powerlaw_v2	0.5876002910840907	0.541031295321259	0.6351224115204469	0.5092129499163881	0.47094943335439843	0.5425780827639365	0.12392815641225	0.6605390748075626	0.6115519319503965	0.7074755594929114	0.343143522379218	0.5683890652494455	0.5256087874678231	0.6062068381042757	0.6663782262572799	0.6227196850344476	0.711795336264186	0.08067940552016985	0.14385432473444612	0.1409810737736578
1000_cells_10000_atac	multiome_powerlaw_v2_noTPMfilter	0.5865066437964749	0.5361883286412522	0.6326179453207875	0.5120122188660885	0.47327646199340284	0.5493408770584132	0.131647126223818	0.6424436891403943	0.5935871024268403	0.6916592220278092	0.306902754709249	0.5497243747985455	0.5126000355812137	0.5910951609860647	0.668212042514185	0.6286166287227491	0.7101658785124504	0.09129511677282377	0.15852301466868993	0.15546543066821167
all_cells_4000_atac	multiome_powerlaw_v2	0.5860751470969713	0.5364878913149926	0.6362745404293153	0.509798892793667	0.47062663691173084	0.5508171045842098	0.132869235497472	0.6384591081911035	0.5890613515929929	0.6857142857142857	0.347790508368493	0.5434851838319127	0.5017542424324503	0.582024307534038	0.664990977708904	0.6183858989129486	0.7009589828990969	0.07643312101910828	0.12736469398077896	0.1250482811896485
