Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
PBMC_22_CD4.M	-181825.163265306	Treg	209	183	955	0.218848167539267	0.191623036649215	0.875598086124402	ABC_distanceToTSS	7.68546833580248	6.79929383333558	8.68714089851974	0.0625075556991155	1.05135514730755e-107	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-161622.367346939	Treg	214	179	955	0.224083769633508	0.187434554973822	0.836448598130841	ABC_distanceToTSS	7.51138828477594	6.65798065225735	8.47418412751621	0.0615338213318932	8.03391911125183e-109	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-161622.367346939	Treg	209	174	955	0.218848167539267	0.182198952879581	0.832535885167464	ABC_distanceToTSS	7.52796257721482	6.65995029083496	8.50910563730981	0.0625074804463197	4.4357620008782e-106	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-161622.367346939	Treg	176	150	955	0.184293193717277	0.157068062827225	0.852272727272727	ABC_distanceToTSS	7.88019817919286	6.86799423506029	9.04158058641839	0.0701446305331112	1.65158740062689e-89	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-161622.367346939	Treg	209	177	955	0.218848167539267	0.185340314136126	0.84688995215311	ABC_distanceToTSS	7.80573515688046	6.90569248621948	8.8230834866954	0.062507613159964	6.31567977997814e-109	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-142534.5	Treg	211	178	955	0.220942408376963	0.186387434554974	0.843601895734597	ABC_distanceToTSS	7.55353104343542	6.68772469337988	8.53142643276295	0.0621141164295896	1.62981744911279e-107	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-142534.5	Treg	206	173	955	0.215706806282723	0.181151832460733	0.839805825242718	ABC_distanceToTSS	7.56417711509394	6.68412150626933	8.56010402785838	0.0631076783998388	1.05273964272309e-104	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-142534.5	Treg	174	150	955	0.182198952879581	0.157068062827225	0.862068965517241	ABC_distanceToTSS	7.92820216435557	6.90285295644254	9.10585665890906	0.0706602262819027	9.91202306991084e-89	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-142534.5	Treg	207	176	955	0.216753926701571	0.184293193717277	0.85024154589372	ABC_distanceToTSS	7.8649270683796	6.95262301646066	8.89694114645374	0.0629063920008501	2.53987490247887e-108	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-141419.571428571	Treg	210	177	955	0.219895287958115	0.185340314136126	0.842857142857143	ABC_distanceToTSS	7.52664936254116	6.66136463274607	8.50433113181611	0.0623101284497021	1.19621597902061e-106	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-141419.571428571	Treg	205	172	955	0.214659685863874	0.180104712041885	0.839024390243903	ABC_distanceToTSS	7.5366471447598	6.65714773849331	8.53234033791649	0.0633104909139504	7.680408155532e-104	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-141419.571428571	Treg	173	149	955	0.181151832460733	0.156020942408377	0.861271676300578	ABC_distanceToTSS	7.88990953389926	6.86599897731321	9.06651350499825	0.070921263800483	7.82000588809864e-88	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-141419.571428571	Treg	206	175	955	0.215706806282723	0.183246073298429	0.849514563106796	ABC_distanceToTSS	7.83664792039144	6.92488985083755	8.86845162176084	0.0631078105528445	1.91981593881966e-107	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-121216.775510204	Treg	205	172	955	0.214659685863874	0.180104712041885	0.839024390243903	ABC_distanceToTSS	7.558111953899	6.67610754528609	8.55664111462767	0.063310501377597	4.64421401936761e-104	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-121216.775510204	Treg	199	166	955	0.208376963350785	0.173821989528796	0.834170854271357	ABC_distanceToTSS	7.5140128319921	6.62094976221304	8.52753620961929	0.064557730459512	3.87709442835617e-100	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-121216.775510204	Treg	170	146	955	0.178010471204188	0.152879581151832	0.858823529411765	ABC_distanceToTSS	7.95594322574648	6.9126602462677	9.15668213919189	0.0717179893942967	1.319770245867e-86	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-121216.775510204	Treg	200	171	955	0.209424083769634	0.179057591623037	0.855	ABC_distanceToTSS	7.80055097047095	6.87628091032874	8.84905608662899	0.0643462987113947	1.60595197542761e-103	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-120056.785714286	Treg	205	171	955	0.214659685863874	0.179057591623037	0.834146341463415	ABC_distanceToTSS	7.57415813048239	6.69028108835872	8.57480734036336	0.0633105091997733	3.1911518843701e-104	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-120056.785714286	Treg	199	165	955	0.208376963350785	0.172774869109948	0.829145728643216	ABC_distanceToTSS	7.52774923739183	6.63305346464503	8.54312555794932	0.0645577373660752	2.83546881106208e-100	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-120056.785714286	Treg	170	146	955	0.178010471204188	0.152879581151832	0.858823529411765	ABC_distanceToTSS	7.97092253661667	6.9256751608936	9.17392234095856	0.0717179983291663	1.00477697813311e-86	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-120056.785714286	Treg	200	170	955	0.209424083769634	0.178010471204188	0.85	ABC_distanceToTSS	7.81350727840852	6.88770196646432	8.86375401940951	0.0643463051918019	1.20516318292927e-103	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-101013.979591837	Treg	203	167	955	0.212565445026178	0.174869109947644	0.822660098522167	ABC_distanceToTSS	7.80372076309944	6.88751739455445	8.841800936369	0.0637205284645793	2.48073438581244e-105	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-101013.979591837	Treg	197	162	955	0.206282722513089	0.169633507853403	0.822335025380711	ABC_distanceToTSS	7.73525508501121	6.81018338496695	8.78598531755721	0.0649855884772207	4.00710785611946e-101	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-101013.979591837	Treg	169	144	955	0.17696335078534	0.150785340314136	0.85207100591716	ABC_distanceToTSS	8.20385048446067	7.12428309376486	9.44700847588285	0.0719883190565586	6.0791239953117e-88	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-101013.979591837	Treg	198	167	955	0.207329842931937	0.174869109947644	0.843434343434343	ABC_distanceToTSS	8.00229140888382	7.04824710078202	9.085474285598	0.0647710774575003	3.086915202192e-104	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
