group1	group2	group1_enr	group2_enr	delta_enr	p_delta_enr	p_delta_enr_adjust	significant
BMMC22_Normoblast	Islets_immune	12.391569416534	5.84848176562809	6.54308765090591	1.22018290335055e-08	1.31779753561859e-06	TRUE
BMMC22_Erythroblast	Islets_immune	10.9317303488752	5.84848176562809	5.08324858324711	4.8414034723677e-07	5.22871575015712e-05	TRUE
BMMC22_Proerythroblast	Islets_immune	10.6473417689872	5.84848176562809	4.79886000335911	1.28781876796588e-06	0.000139084426940315	TRUE
BMMC22_Normoblast	BMMC22_CD4_pos_T_naive	12.391569416534	5.81037719794428	6.58119221858972	3.79277713562805e-09	4.0961993064783e-07	TRUE
BMMC22_Erythroblast	BMMC22_CD4_pos_T_naive	10.9317303488752	5.81037719794428	5.12135315093092	1.71787325880616e-07	1.85530311951065e-05	TRUE
BMMC22_Proerythroblast	BMMC22_CD4_pos_T_naive	10.6473417689872	5.81037719794428	4.83696457104292	4.87052631262858e-07	5.26016841763887e-05	TRUE
BMMC22_Normoblast	BMMC22_cDC2	12.391569416534	5.76613205242588	6.62543736410812	1.73013053731765e-08	1.86854098030306e-06	TRUE
BMMC22_Erythroblast	BMMC22_cDC2	10.9317303488752	5.76613205242588	5.16559829644932	6.27341839727751e-07	6.77529186905971e-05	TRUE
BMMC22_Proerythroblast	BMMC22_cDC2	10.6473417689872	5.76613205242588	4.88120971656132	1.60586025597626e-06	0.000173432907645436	TRUE
BMMC22_Normoblast	BMMC22_CD16_pos_Mono	12.391569416534	5.74236058594414	6.64920883058986	7.2587817571739e-09	7.83948429774781e-07	TRUE
BMMC22_Erythroblast	BMMC22_CD16_pos_Mono	10.9317303488752	5.74236058594414	5.18936976293106	2.92652527612968e-07	3.16064729822005e-05	TRUE
BMMC22_Proerythroblast	BMMC22_CD16_pos_Mono	10.6473417689872	5.74236058594414	4.90498118304306	7.85587348645187e-07	8.48434336536802e-05	TRUE
BMMC22_Normoblast	BMMC22_pDC	12.391569416534	5.72214820633975	6.66942121019425	1.88314800633213e-09	2.0337998468387e-07	TRUE
BMMC22_Erythroblast	BMMC22_pDC	10.9317303488752	5.72214820633975	5.20958214253545	8.88605251914125e-08	9.59693672067255e-06	TRUE
BMMC22_Proerythroblast	BMMC22_pDC	10.6473417689872	5.72214820633975	4.92519356264745	2.5766891199003e-07	2.78282424949232e-05	TRUE
BMMC22_Normoblast	PBMC_22_CD4.M	12.391569416534	5.6485808943761	6.7429885221579	2.67625143352712e-09	2.89035154820928e-07	TRUE
BMMC22_Erythroblast	PBMC_22_CD4.M	10.9317303488752	5.6485808943761	5.2831494544991	1.16847097340345e-07	1.26194865127572e-05	TRUE
BMMC22_Proerythroblast	PBMC_22_CD4.M	10.6473417689872	5.6485808943761	4.9987608746111	3.2624002684569e-07	3.52339228993345e-05	TRUE
BMMC22_Normoblast	PBMC_13_CD16.Mono	12.391569416534	5.55795286230243	6.83361655423157	3.70860278187344e-08	4.00529100442331e-06	TRUE
BMMC22_Erythroblast	PBMC_13_CD16.Mono	10.9317303488752	5.55795286230243	5.37377748657277	1.0833856738078e-06	0.000117005652771243	TRUE
BMMC22_Proerythroblast	PBMC_13_CD16.Mono	10.6473417689872	5.55795286230243	5.08938890668477	2.54862491597417e-06	0.00027525149092521	TRUE
BMMC22_Normoblast	BMMC22_B1_B	12.391569416534	5.50616021471053	6.88540920182347	1.13876735008584e-09	1.22986873809271e-07	TRUE
BMMC22_Erythroblast	BMMC22_B1_B	10.9317303488752	5.50616021471053	5.42557013416467	5.13260421329942e-08	5.54321255036337e-06	TRUE
BMMC22_Proerythroblast	BMMC22_B1_B	10.6473417689872	5.50616021471053	5.14118155427667	1.45921598447735e-07	1.57595326323554e-05	TRUE
BMMC22_Normoblast	BMMC22_CD14_pos_Mono	12.391569416534	5.45670890374828	6.93486051278572	2.25635578177433e-11	2.43686424431628e-09	TRUE
BMMC22_Erythroblast	BMMC22_CD14_pos_Mono	10.9317303488752	5.45670890374828	5.47502144512692	1.44490768626256e-09	1.56050030116357e-07	TRUE
BMMC22_Proerythroblast	BMMC22_CD14_pos_Mono	10.6473417689872	5.45670890374828	5.19063286523892	5.09037517426461e-09	5.49760518820578e-07	TRUE
BMMC22_Normoblast	PBMC_12_CD14.Mono.2	12.391569416534	5.37540604781108	7.01616336872292	8.59356560417675e-10	9.28105085251089e-08	TRUE
BMMC22_Erythroblast	PBMC_12_CD14.Mono.2	10.9317303488752	5.37540604781108	5.55632430106412	3.75580663537611e-08	4.0562711662062e-06	TRUE
BMMC22_Proerythroblast	PBMC_12_CD14.Mono.2	10.6473417689872	5.37540604781108	5.27193572117612	1.05380417721614e-07	1.13810851139343e-05	TRUE
BMMC22_Normoblast	PBMC_25_NK	12.391569416534	5.36474680351702	7.02682261301698	7.98098639291263e-09	8.61946530434564e-07	TRUE
BMMC22_Erythroblast	PBMC_25_NK	10.9317303488752	5.36474680351702	5.56698354535818	2.62967224889083e-07	2.8400460288021e-05	TRUE
BMMC22_Proerythroblast	PBMC_25_NK	10.6473417689872	5.36474680351702	5.28259496547018	6.50603304323798e-07	7.02651568669702e-05	TRUE
BMMC22_Normoblast	BMMC22_NK	12.391569416534	5.21474732426393	7.17682209227007	3.28687721578004e-11	3.54982739304245e-09	TRUE
BMMC22_Erythroblast	BMMC22_NK	10.9317303488752	5.21474732426393	5.71698302461127	1.84905395400274e-09	1.99697827032296e-07	TRUE
BMMC22_Proerythroblast	BMMC22_NK	10.6473417689872	5.21474732426393	5.43259444472327	5.97966014446844e-09	6.45803295602592e-07	TRUE
BMMC22_Normoblast	BMMC22_Lymph_prog	12.391569416534	5.19042925237642	7.20114016415758	5.09179982916983e-11	5.49914381550341e-09	TRUE
BMMC22_Erythroblast	BMMC22_Lymph_prog	10.9317303488752	5.19042925237642	5.74130109649878	2.72649576424562e-09	2.94461542538527e-07	TRUE
BMMC22_Proerythroblast	BMMC22_Lymph_prog	10.6473417689872	5.19042925237642	5.45691251661078	8.55787986462111e-09	9.2425102537908e-07	TRUE
BMMC22_Normoblast	PBMC_11_CD14.Mono.1	12.391569416534	5.1848544909431	7.2067149255909	1.35977208394768e-09	1.46855385066349e-07	TRUE
BMMC22_Erythroblast	PBMC_11_CD14.Mono.1	10.9317303488752	5.1848544909431	5.7468758579321	5.13312771140505e-08	5.54377792831746e-06	TRUE
BMMC22_Proerythroblast	PBMC_11_CD14.Mono.1	10.6473417689872	5.1848544909431	5.4624872780441	1.34906252897425e-07	1.45698753129219e-05	TRUE
BMMC22_Normoblast	BMMC22_CD8_pos_T_naive	12.391569416534	5.10265903063524	7.28891038589876	2.06439516281721e-10	2.22954677584259e-08	TRUE
BMMC22_Erythroblast	BMMC22_CD8_pos_T_naive	10.9317303488752	5.10265903063524	5.82907131823996	9.25754827389479e-09	9.99815213580638e-07	TRUE
BMMC22_Proerythroblast	BMMC22_CD8_pos_T_naive	10.6473417689872	5.10265903063524	5.54468273835196	2.64171282527626e-08	2.85304985129836e-06	TRUE
BMMC22_Normoblast	PBMC_20_CD4.N1	12.391569416534	4.8832958377607	7.5082735787733	6.84171507718814e-10	7.38905228336319e-08	TRUE
BMMC22_Erythroblast	PBMC_20_CD4.N1	10.9317303488752	4.8832958377607	6.0484345111145	2.41681336831878e-08	2.61015843778428e-06	TRUE
BMMC22_Proerythroblast	PBMC_20_CD4.N1	10.6473417689872	4.8832958377607	5.7640459312265	6.19559663707203e-08	6.69124436803779e-06	TRUE
BMMC22_Normoblast	BMMC22_Naive_CD20_pos_B	12.391569416534	4.8721879047572	7.5193815117768	1.03731515763997e-11	1.12030037025117e-09	TRUE
BMMC22_Erythroblast	BMMC22_Naive_CD20_pos_B	10.9317303488752	4.8721879047572	6.059542444118	5.55253364205642e-10	5.99673633342093e-08	TRUE
BMMC22_Proerythroblast	BMMC22_Naive_CD20_pos_B	10.6473417689872	4.8721879047572	5.77515386423	1.75115521107482e-09	1.89124762796081e-07	TRUE
BMMC22_Normoblast	BMMC22_Transitional_B	12.391569416534	4.81130333765541	7.58026607887859	1.07273657178882e-11	1.15855549753192e-09	TRUE
BMMC22_Erythroblast	BMMC22_Transitional_B	10.9317303488752	4.81130333765541	6.12042701121979	5.57500982040766e-10	6.02101060604027e-08	TRUE
BMMC22_Proerythroblast	BMMC22_Transitional_B	10.6473417689872	4.81130333765541	5.83603843133179	1.72951379408624e-09	1.86787489761314e-07	TRUE
BMMC22_Normoblast	PBMC_17_B	12.391569416534	4.53963248707803	7.85193692945597	4.26056222119687e-11	4.60140719889262e-09	TRUE
BMMC22_Erythroblast	PBMC_17_B	10.9317303488752	4.53963248707803	6.39209786179717	1.71853021271882e-09	1.85601262973633e-07	TRUE
BMMC22_Proerythroblast	PBMC_17_B	10.6473417689872	4.53963248707803	6.10770928190917	4.69413332759528e-09	5.0696639938029e-07	TRUE
BMMC22_Normoblast	Islets_endothelial	12.391569416534	4.45748468102999	7.93408473550401	1.9326434136899e-11	2.0872548867851e-09	TRUE
BMMC22_Erythroblast	Islets_endothelial	10.9317303488752	4.45748468102999	6.47424566784521	8.09571724046758e-10	8.74337461970499e-08	TRUE
BMMC22_Proerythroblast	Islets_endothelial	10.6473417689872	4.45748468102999	6.18985708795721	2.25347193118658e-09	2.43374968568151e-07	TRUE
BMMC22_Normoblast	Islets_PP	12.391569416534	4.31577025497002	8.07579916156398	1.6879369449559e-13	1.82297190055237e-11	TRUE
BMMC22_Erythroblast	Islets_PP	10.9317303488752	4.31577025497002	6.61596009390518	9.73887010734871e-12	1.05179797159366e-09	TRUE
