tissue	var_count	distance_bin	distance_min	distance_max	distance_label	hex
lung	3	n_bin5	1000	30000	> 1000Kb	#96ced3
colon_transverse	237	n_bin1	0	10	0-10 Kb	#003648
colon_transverse	276	n_bin2	10	100	10-100 Kb	#006479
colon_transverse	50	n_bin3	100	250	100-250 Kb	#0096a0
colon_transverse	28	n_bin4	250	1000	250-1000 Kb	#49bcbc
colon_transverse	2	n_bin5	1000	30000	> 1000Kb	#96ced3
pituitary	170	n_bin1	0	10	0-10 Kb	#003648
pituitary	216	n_bin2	10	100	10-100 Kb	#006479
pituitary	42	n_bin3	100	250	100-250 Kb	#0096a0
pituitary	31	n_bin4	250	1000	250-1000 Kb	#49bcbc
pituitary	0	n_bin5	1000	30000	> 1000Kb	#96ced3
ovary	86	n_bin1	0	10	0-10 Kb	#003648
ovary	120	n_bin2	10	100	10-100 Kb	#006479
ovary	25	n_bin3	100	250	100-250 Kb	#0096a0
ovary	26	n_bin4	250	1000	250-1000 Kb	#49bcbc
ovary	0	n_bin5	1000	30000	> 1000Kb	#96ced3
colon_sigmoid	215	n_bin1	0	10	0-10 Kb	#003648
colon_sigmoid	244	n_bin2	10	100	10-100 Kb	#006479
colon_sigmoid	52	n_bin3	100	250	100-250 Kb	#0096a0
colon_sigmoid	38	n_bin4	250	1000	250-1000 Kb	#49bcbc
colon_sigmoid	0	n_bin5	1000	30000	> 1000Kb	#96ced3
brain_spinal	65	n_bin1	0	10	0-10 Kb	#003648
brain_spinal	121	n_bin2	10	100	10-100 Kb	#006479
brain_spinal	18	n_bin3	100	250	100-250 Kb	#0096a0
brain_spinal	16	n_bin4	250	1000	250-1000 Kb	#49bcbc
brain_spinal	0	n_bin5	1000	30000	> 1000Kb	#96ced3
esophagus_gej	244	n_bin1	0	10	0-10 Kb	#003648
esophagus_gej	278	n_bin2	10	100	10-100 Kb	#006479
esophagus_gej	43	n_bin3	100	250	100-250 Kb	#0096a0
esophagus_gej	31	n_bin4	250	1000	250-1000 Kb	#49bcbc
esophagus_gej	0	n_bin5	1000	30000	> 1000Kb	#96ced3
liver	111	n_bin1	0	10	0-10 Kb	#003648
liver	128	n_bin2	10	100	10-100 Kb	#006479
liver	30	n_bin3	100	250	100-250 Kb	#0096a0
liver	29	n_bin4	250	1000	250-1000 Kb	#49bcbc
liver	0	n_bin5	1000	30000	> 1000Kb	#96ced3
heart_atrial_appendage	246	n_bin1	0	10	0-10 Kb	#003648
heart_atrial_appendage	308	n_bin2	10	100	10-100 Kb	#006479
heart_atrial_appendage	74	n_bin3	100	250	100-250 Kb	#0096a0
heart_atrial_appendage	34	n_bin4	250	1000	250-1000 Kb	#49bcbc
heart_atrial_appendage	2	n_bin5	1000	30000	> 1000Kb	#96ced3
NK	224	n_bin1	0	10	0-10 Kb	#003648
NK	363	n_bin2	10	100	10-100 Kb	#006479
NK	59	n_bin3	100	250	100-250 Kb	#0096a0
NK	41	n_bin4	250	1000	250-1000 Kb	#49bcbc
NK	0	n_bin5	1000	30000	> 1000Kb	#96ced3
placenta	118	n_bin1	0	10	0-10 Kb	#003648
placenta	194	n_bin2	10	100	10-100 Kb	#006479
placenta	21	n_bin3	100	250	100-250 Kb	#0096a0
placenta	17	n_bin4	250	1000	250-1000 Kb	#49bcbc
placenta	0	n_bin5	1000	30000	> 1000Kb	#96ced3
blood	994	n_bin1	0	10	0-10 Kb	#003648
blood	1426	n_bin2	10	100	10-100 Kb	#006479
blood	241	n_bin3	100	250	100-250 Kb	#0096a0
blood	134	n_bin4	250	1000	250-1000 Kb	#49bcbc
blood	4	n_bin5	1000	30000	> 1000Kb	#96ced3
stomach	168	n_bin1	0	10	0-10 Kb	#003648
stomach	204	n_bin2	10	100	10-100 Kb	#006479
stomach	41	n_bin3	100	250	100-250 Kb	#0096a0
stomach	23	n_bin4	250	1000	250-1000 Kb	#49bcbc
stomach	1	n_bin5	1000	30000	> 1000Kb	#96ced3
adipose	456	n_bin1	0	10	0-10 Kb	#003648
adipose	709	n_bin2	10	100	10-100 Kb	#006479
adipose	162	n_bin3	100	250	100-250 Kb	#0096a0
adipose	106	n_bin4	250	1000	250-1000 Kb	#49bcbc
adipose	1	n_bin5	1000	30000	> 1000Kb	#96ced3
adrenal_gland	161	n_bin1	0	10	0-10 Kb	#003648
adrenal_gland	193	n_bin2	10	100	10-100 Kb	#006479
adrenal_gland	39	n_bin3	100	250	100-250 Kb	#0096a0
adrenal_gland	33	n_bin4	250	1000	250-1000 Kb	#49bcbc
adrenal_gland	1	n_bin5	1000	30000	> 1000Kb	#96ced3
breast	212	n_bin1	0	10	0-10 Kb	#003648
breast	262	n_bin2	10	100	10-100 Kb	#006479
breast	43	n_bin3	100	250	100-250 Kb	#0096a0
breast	36	n_bin4	250	1000	250-1000 Kb	#49bcbc
breast	2	n_bin5	1000	30000	> 1000Kb	#96ced3
small_intestine	80	n_bin1	0	10	0-10 Kb	#003648
small_intestine	138	n_bin2	10	100	10-100 Kb	#006479
small_intestine	25	n_bin3	100	250	100-250 Kb	#0096a0
small_intestine	15	n_bin4	250	1000	250-1000 Kb	#49bcbc
small_intestine	0	n_bin5	1000	30000	> 1000Kb	#96ced3
artery_coronary	103	n_bin1	0	10	0-10 Kb	#003648
artery_coronary	137	n_bin2	10	100	10-100 Kb	#006479
artery_coronary	20	n_bin3	100	250	100-250 Kb	#0096a0
artery_coronary	19	n_bin4	250	1000	250-1000 Kb	#49bcbc
artery_coronary	0	n_bin5	1000	30000	> 1000Kb	#96ced3
spleen	268	n_bin1	0	10	0-10 Kb	#003648
spleen	263	n_bin2	10	100	10-100 Kb	#006479
spleen	46	n_bin3	100	250	100-250 Kb	#0096a0
spleen	33	n_bin4	250	1000	250-1000 Kb	#49bcbc
spleen	2	n_bin5	1000	30000	> 1000Kb	#96ced3
pancreas	256	n_bin1	0	10	0-10 Kb	#003648
pancreas	334	n_bin2	10	100	10-100 Kb	#006479
pancreas	57	n_bin3	100	250	100-250 Kb	#0096a0
pancreas	28	n_bin4	250	1000	250-1000 Kb	#49bcbc
pancreas	1	n_bin5	1000	30000	> 1000Kb	#96ced3
skin	195	n_bin1	0	10	0-10 Kb	#003648
skin	267	n_bin2	10	100	10-100 Kb	#006479
skin	64	n_bin3	100	250	100-250 Kb	#0096a0
skin	17	n_bin4	250	1000	250-1000 Kb	#49bcbc
skin	1	n_bin5	1000	30000	> 1000Kb	#96ced3
B	161	n_bin1	0	10	0-10 Kb	#003648
B	270	n_bin2	10	100	10-100 Kb	#006479
B	51	n_bin3	100	250	100-250 Kb	#0096a0
B	49	n_bin4	250	1000	250-1000 Kb	#49bcbc
B	0	n_bin5	1000	30000	> 1000Kb	#96ced3
pancreatic_islet	73	n_bin1	0	10	0-10 Kb	#003648
pancreatic_islet	96	n_bin2	10	100	10-100 Kb	#006479
pancreatic_islet	31	n_bin3	100	250	100-250 Kb	#0096a0
pancreatic_islet	19	n_bin4	250	1000	250-1000 Kb	#49bcbc
pancreatic_islet	0	n_bin5	1000	30000	> 1000Kb	#96ced3
HLC	25	n_bin1	0	10	0-10 Kb	#003648
HLC	24	n_bin2	10	100	10-100 Kb	#006479
HLC	2	n_bin3	100	250	100-250 Kb	#0096a0
HLC	5	n_bin4	250	1000	250-1000 Kb	#49bcbc
HLC	0	n_bin5	1000	30000	> 1000Kb	#96ced3
cartilage	15	n_bin1	0	10	0-10 Kb	#003648
cartilage	28	n_bin2	10	100	10-100 Kb	#006479
cartilage	4	n_bin3	100	250	100-250 Kb	#0096a0
cartilage	3	n_bin4	250	1000	250-1000 Kb	#49bcbc
cartilage	0	n_bin5	1000	30000	> 1000Kb	#96ced3
kidney	12	n_bin1	0	10	0-10 Kb	#003648
kidney	29	n_bin2	10	100	10-100 Kb	#006479
kidney	3	n_bin3	100	250	100-250 Kb	#0096a0
kidney	2	n_bin4	250	1000	250-1000 Kb	#49bcbc
kidney	0	n_bin5	1000	30000	> 1000Kb	#96ced3
synovium	7	n_bin1	0	10	0-10 Kb	#003648
synovium	17	n_bin2	10	100	10-100 Kb	#006479
synovium	2	n_bin3	100	250	100-250 Kb	#0096a0
synovium	5	n_bin4	250	1000	250-1000 Kb	#49bcbc
synovium	0	n_bin5	1000	30000	> 1000Kb	#96ced3
dendritic	10	n_bin1	0	10	0-10 Kb	#003648
dendritic	21	n_bin2	10	100	10-100 Kb	#006479
dendritic	2	n_bin3	100	250	100-250 Kb	#0096a0
dendritic	2	n_bin4	250	1000	250-1000 Kb	#49bcbc
dendritic	0	n_bin5	1000	30000	> 1000Kb	#96ced3
neuron_progenitor	50	n_bin1	0	10	0-10 Kb	#003648
neuron_progenitor	77	n_bin2	10	100	10-100 Kb	#006479
neuron_progenitor	13	n_bin3	100	250	100-250 Kb	#0096a0
neuron_progenitor	9	n_bin4	250	1000	250-1000 Kb	#49bcbc
neuron_progenitor	0	n_bin5	1000	30000	> 1000Kb	#96ced3
neuron	12	n_bin1	0	10	0-10 Kb	#003648
neuron	29	n_bin2	10	100	10-100 Kb	#006479
neuron	2	n_bin3	100	250	100-250 Kb	#0096a0
neuron	4	n_bin4	250	1000	250-1000 Kb	#49bcbc
neuron	0	n_bin5	1000	30000	> 1000Kb	#96ced3
HSPC	2	n_bin1	0	10	0-10 Kb	#003648
HSPC	0	n_bin2	10	100	10-100 Kb	#006479
HSPC	0	n_bin3	100	250	100-250 Kb	#0096a0
HSPC	1	n_bin4	250	1000	250-1000 Kb	#49bcbc
HSPC	0	n_bin5	1000	30000	> 1000Kb	#96ced3
